,BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
0,18-147854,False,False,False,False,False,False,False,
1,20-133423,False,False,False,False,True,False,False,
2,20-146430,False,False,False,False,True,False,False,
3,20-77421,False,False,False,False,False,False,False,
4,21-23587,False,True,False,False,False,False,False,
5,21-26306,False,False,False,False,True,False,False,
6,21-27158,False,False,False,False,False,True,False,
7,21-32483,False,False,False,False,False,False,False,
8,21-34777,False,False,False,False,False,False,True,
9,21-36171,False,False,False,False,False,False,False,
10,21-38541,False,False,False,False,False,False,False,
11,21-40410,False,False,False,False,False,False,True,
12,21-40601,False,False,False,False,True,False,False,
13,21-40848,False,False,False,False,True,False,False,
14,21-41881,False,False,False,False,False,False,False,
15,21-42331,False,False,False,False,True,False,False,
16,21-44192,False,False,False,True,False,False,False,
17,21-44303,False,False,False,False,False,True,False,
18,21-45122,False,False,False,False,True,False,False,
19,21-45367,False,False,False,False,False,False,True,
20,21-45877,False,True,False,False,False,False,False,
21,21-46785,False,False,False,False,False,False,False,
22,21-47087,False,False,False,True,False,False,False,
23,21-47188,False,False,False,False,False,False,False,
24,21-47284,False,False,False,False,False,False,False,
25,21-49009,False,False,False,False,True,False,False,
26,21-49257,False,False,False,False,False,False,True,
27,21-49957,False,False,False,False,True,False,False,
28,21-50616,False,False,False,False,False,True,False,
29,21-51151,False,False,False,False,True,False,False,
30,21-51361,False,False,False,False,False,True,False,
31,21-2805,False,False,False,False,True,False,False,
32,21-51820,False,False,True,False,False,False,False,
33,21-52036,False,False,False,False,True,False,False,
34,21-52083,False,False,False,True,False,False,False,
35,21-52136,False,False,False,False,False,False,True,
36,21-52151,False,False,False,True,False,False,False,
37,21-52440,False,False,False,False,False,True,False,
38,21-53013,False,False,False,True,False,False,False,
