,BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
3035,21-81374,False,False,False,False,True,False,False,
3036,21-81375,False,False,False,False,False,True,False,
3037,21-81377,False,False,False,False,True,False,False,
3038,21-81378,False,False,False,False,True,False,False,
3039,21-81379,False,False,True,False,False,False,False,
3040,21-81380,False,False,False,False,False,False,True,
3041,21-81381,False,False,False,False,True,False,False,
3042,21-81384,False,False,False,True,False,False,False,
3043,21-81385,False,False,False,False,True,False,False,
3044,21-81387,False,False,False,False,False,False,False,
3045,21-81388,False,False,False,False,False,False,True,
3046,21-81389,False,False,False,False,True,False,False,
3047,21-81390,False,False,False,False,False,False,False,
3048,21-81393,False,False,False,False,True,False,False,
3049,21-81396,False,False,False,True,False,False,False,
3050,21-81404,False,False,False,False,False,True,False,
3051,21-81409,False,False,False,False,True,False,False,
3052,21-81411,False,False,False,False,True,False,False,
3053,21-81420,False,False,False,False,True,False,False,
3054,21-81423,False,False,False,True,False,False,False,
3055,21-81428,False,False,False,False,False,False,True,
3056,21-81430,False,False,False,False,True,False,False,
3057,21-81433,False,False,False,False,False,False,True,
3058,21-81434,False,False,False,False,False,False,True,
3059,21-81436,False,True,False,False,False,False,False,
3060,21-81441,False,False,False,False,True,False,False,
3061,21-81442,False,False,False,False,False,False,True,
3062,21-81443,False,False,False,False,True,False,False,
3063,21-81444,False,False,False,False,False,False,True,
3064,21-81445,False,False,True,False,False,False,False,
3065,21-81446,False,False,False,False,True,False,False,
3066,21-81447,False,False,False,True,False,False,False,
3067,21-81449,False,False,False,False,False,False,False,
3068,21-81450,False,False,False,False,True,False,False,
3069,21-81451,False,False,False,False,False,False,True,
3070,21-81453,False,False,False,False,True,False,False,
3071,21-81457,False,False,False,False,True,False,False,
3072,21-81458,False,False,False,False,True,False,False,
3073,21-81459,False,False,False,False,False,False,True,
3074,21-81467,False,False,False,False,True,False,False,
3075,21-81470,False,False,False,False,False,False,False,
3076,21-81471,False,False,False,False,False,False,False,
3077,21-81472,False,False,False,False,True,False,False,
3078,21-81475,False,False,False,False,False,True,False,
3079,21-81476,False,False,False,False,True,False,False,
3080,21-81481,False,True,False,False,False,False,False,
3081,21-81482,False,False,False,False,True,False,False,
3082,21-81492,False,False,False,False,False,False,True,
3083,21-81493,False,False,False,True,False,False,False,
3084,21-81495,False,False,False,False,False,False,False,
3085,21-81496,False,False,False,False,True,False,False,
3086,21-81498,False,False,False,False,False,False,True,
3087,21-81500,False,False,False,False,False,False,False,
3088,21-81502,False,False,False,True,False,False,False,
3089,21-81504,False,False,False,True,False,False,False,
3090,21-81512,False,False,False,False,False,False,False,
3091,21-81517,False,False,False,False,False,False,True,
3092,21-81520,False,False,False,True,False,False,False,
3093,21-81525,False,False,False,False,False,False,False,
3094,21-81528,False,True,False,False,False,False,False,
3095,21-81529,False,False,False,False,False,False,False,
3096,21-81531,False,False,False,False,False,False,True,
3097,21-81532,False,True,False,False,False,False,False,
3098,21-81533,False,False,False,True,False,False,False,
3099,21-81535,False,False,False,False,False,True,False,
3100,21-81536,False,False,False,False,False,True,False,
3101,21-81537,False,True,False,False,False,False,False,
3102,21-81539,False,False,False,False,False,False,True,
3103,21-81541,False,False,False,False,True,False,False,
3104,21-81544,False,False,False,False,True,False,False,
3105,21-81546,False,False,False,False,False,False,False,
3106,21-81552,False,False,False,False,False,False,True,
3107,21-81557,False,False,False,True,False,False,False,
3108,21-81559,False,False,False,False,True,False,False,
3109,21-81560,False,False,False,False,True,False,False,
3110,21-81563,False,False,False,True,False,False,False,
3111,21-81564,False,False,False,False,False,False,True,
3112,21-81565,False,False,False,False,False,False,False,
3113,21-81566,False,False,False,False,False,False,True,
3114,21-81573,False,False,False,False,True,False,False,
3115,21-81578,False,False,False,False,False,False,True,
3116,21-81584,False,False,False,True,False,False,False,
3117,21-81588,False,False,False,False,False,False,True,
3118,21-81599,False,False,False,False,False,False,False,
3119,21-81602,False,False,False,False,False,False,False,
3120,21-81606,False,False,False,True,False,False,False,
3121,21-81609,False,False,False,False,False,False,False,
3122,21-81611,False,False,False,False,True,False,False,
3123,21-81615,False,False,False,False,False,False,False,
3124,21-81616,False,True,False,False,False,False,False,
3125,21-81620,False,False,False,False,False,False,False,
3126,21-81622,False,False,False,False,False,False,True,
3127,21-81623,False,False,False,False,False,True,False,
3128,21-81624,False,False,False,False,False,False,True,
3129,21-81625,False,False,False,False,True,False,False,
3130,21-81626,False,False,False,False,False,True,False,
3131,21-81630,False,True,False,False,False,False,False,
3132,21-81632,False,False,False,True,False,False,False,
3133,21-81633,False,False,False,False,False,True,False,
3134,21-81634,False,True,False,False,False,False,False,
3135,21-81636,False,False,False,False,True,False,False,
3136,21-81642,False,False,False,False,True,False,False,
3137,21-81643,False,False,False,False,False,False,True,
3138,21-81645,False,False,False,False,False,False,False,
3139,21-81647,False,False,False,False,True,False,False,
3140,21-81649,False,False,False,True,False,False,False,
3141,21-81650,False,False,False,False,False,False,True,
3142,21-81651,False,False,False,False,True,False,False,
3143,21-81653,False,False,False,False,False,False,True,
3144,21-81654,False,False,False,False,True,False,False,
3145,21-81655,False,False,False,False,True,False,False,
3146,21-81656,False,False,False,False,False,False,True,
3147,21-81666,False,True,False,False,False,False,False,
3148,21-81667,False,False,False,False,False,True,False,
3149,21-81670,False,False,False,False,False,False,False,
3150,21-81686,False,False,False,False,True,False,False,
3151,21-81687,False,False,False,False,False,False,True,
3152,21-81688,False,True,False,False,False,False,False,
3153,21-81690,False,False,False,False,True,False,False,
3154,21-81697,False,False,False,False,False,True,False,
3155,21-81698,False,False,False,False,False,True,False,
3156,21-81699,False,False,False,False,False,False,True,
3157,21-81701,False,False,False,False,False,False,True,
3158,21-81703,False,False,False,False,False,True,False,
3159,21-81708,False,False,False,False,False,True,False,
3160,21-81709,False,False,False,False,False,False,False,
3161,21-81710,False,False,False,False,True,False,False,
3162,21-81715,False,False,False,False,True,False,False,
3163,21-81716,False,False,False,False,False,False,True,
3164,21-81718,False,True,False,False,False,False,False,
3165,21-81722,False,False,True,False,False,False,False,
3166,21-81725,False,False,False,False,False,False,True,
3167,21-81727,False,False,True,False,False,False,False,
3168,21-81735,False,False,False,False,True,False,False,
3169,21-81738,False,False,False,False,False,False,False,
3170,21-81740,False,False,False,False,True,False,False,
3171,21-81742,False,False,False,False,False,False,True,
3172,21-81749,False,False,False,False,False,False,True,
3173,21-81757,False,False,False,True,False,False,False,
3174,21-81758,False,False,False,False,True,False,False,
3175,21-81759,False,False,False,False,True,False,False,
3176,21-81760,False,False,False,False,True,False,False,
3177,21-81762,False,False,False,False,True,False,False,
3178,21-81763,False,False,False,False,False,False,False,
3179,21-81764,False,False,False,False,False,False,False,
3180,21-81769,False,False,False,False,False,False,True,
3181,21-81770,False,False,False,False,True,False,False,
3182,21-81780,False,False,False,False,False,False,True,
3183,21-81788,False,False,False,False,False,False,True,
3184,21-81789,False,False,False,False,False,False,False,
3185,21-81790,False,False,False,False,False,False,True,
3186,21-81792,False,False,False,False,True,False,False,
3187,21-81793,False,False,False,False,False,False,False,
3188,21-81796,False,True,False,False,False,False,False,
3189,21-81798,False,False,False,False,False,True,False,
3190,21-81803,False,False,False,False,False,False,False,
3191,21-81804,False,False,False,False,True,False,False,
3192,21-81806,False,False,False,False,False,False,True,
3193,21-81807,False,False,False,False,False,False,True,
3194,21-81808,False,False,False,False,True,False,False,
3195,21-81813,False,False,False,False,True,False,False,
3196,21-81814,False,False,False,False,False,False,False,
3197,21-81818,False,False,False,False,False,False,False,
3198,21-81826,False,False,False,False,False,False,False,
3199,21-81827,False,False,False,False,True,False,False,
3200,21-81832,False,True,False,False,False,False,False,
3201,21-81833,False,False,False,False,True,False,False,
3202,21-81835,False,False,False,False,False,True,False,
3203,21-81847,False,False,False,False,False,False,True,
3204,21-81851,False,True,False,False,False,False,False,
3205,21-81852,False,True,False,False,False,False,False,
3206,21-81856,False,False,False,False,True,False,False,
3207,21-81858,False,False,False,False,False,False,True,
3208,21-81860,False,False,False,True,False,False,False,
3209,21-81861,False,False,False,False,True,False,False,
3210,21-81862,False,False,False,True,False,False,False,
3211,21-81863,False,False,False,True,False,False,False,
3212,21-81865,False,False,False,False,True,False,False,
3213,21-81866,False,False,False,False,False,False,True,
3214,21-81868,False,False,False,False,False,False,False,
3215,21-81871,False,False,False,False,False,False,True,
3216,21-81876,False,False,False,False,False,False,True,
3217,21-81878,False,False,False,False,False,True,False,
3218,21-81882,False,False,False,False,False,False,True,
3219,21-81883,False,False,False,False,True,False,False,
3220,21-81885,False,False,False,False,False,False,False,
3221,21-81891,False,False,False,False,False,False,True,
3222,21-81892,False,False,False,False,True,False,False,
3223,21-81897,False,False,False,False,True,False,False,
3224,21-81908,False,False,False,False,False,False,True,
3225,21-81915,False,False,False,False,True,False,False,
3226,21-81916,False,False,False,False,False,False,False,
3227,21-81917,False,False,False,False,False,False,False,
3228,21-81919,False,False,False,False,False,False,True,
3229,21-81920,False,False,False,False,False,False,True,
3230,21-81923,False,False,False,False,False,False,True,
3231,21-81928,False,False,False,False,False,False,True,
3232,21-81934,False,False,False,False,False,False,True,
3233,21-81936,False,False,False,False,True,False,False,
3234,21-81937,False,False,False,False,True,False,False,
3235,21-81941,False,False,False,False,False,True,False,
3236,21-81947,False,False,False,False,True,False,False,
3237,21-81948,False,False,False,False,False,False,True,
3238,21-81949,False,False,True,False,False,False,False,
3239,21-81950,False,False,False,False,False,False,True,
3240,21-81951,False,False,False,False,True,False,False,
3241,21-81953,False,False,False,False,True,False,False,
3242,21-81955,False,False,False,True,False,False,False,
3243,21-81957,False,False,False,False,False,False,False,
3244,21-81963,False,False,False,False,False,False,True,
3245,21-81964,False,False,False,False,False,False,True,
3246,21-81968,False,False,False,False,False,False,True,
3247,21-81970,False,False,False,False,False,False,False,
3248,21-81972,False,False,False,False,False,True,False,
3249,21-81973,False,False,False,False,False,True,False,
3250,21-81975,False,False,False,False,True,False,False,
3251,21-81979,False,False,False,False,True,False,False,
3252,21-81980,False,False,False,False,False,False,False,
3253,21-81988,False,False,False,True,False,False,False,
3254,21-81990,False,False,False,True,False,False,False,
3255,21-81991,False,False,False,False,True,False,False,
3256,21-82002,False,False,False,False,True,False,False,
3257,21-82012,False,False,False,False,False,False,True,
3258,21-82016,False,False,False,False,False,False,False,
3259,21-82017,False,False,False,False,True,False,False,
