,BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
0,18-74158,False,False,False,False,True,False,False,
1,19-122114,False,False,False,False,True,False,False,
2,20-7510,False,False,False,False,False,False,True,
3,21-100908,False,False,False,True,False,False,False,
4,21-100934,False,False,False,False,True,False,False,
5,21-101213,False,False,False,False,False,True,False,
6,21-101448,False,False,False,False,True,False,False,
7,21-101498,False,True,False,False,False,False,False,
8,21-101500,False,False,False,False,True,False,False,
9,21-101518,False,False,False,False,False,False,True,
10,21-101727,False,False,False,False,True,False,False,
11,21-101732,False,False,False,False,False,False,False,
12,21-102209,False,False,False,False,False,False,True,
13,21-102330,False,False,False,True,False,False,False,
14,21-103121,False,False,False,False,False,False,True,
15,21-103655,False,False,False,True,False,False,False,
16,21-103806,False,False,False,False,False,False,True,
17,21-103921,False,False,False,False,False,False,False,
18,21-104017,False,False,False,False,False,False,False,
19,21-104142,False,False,False,False,False,False,False,
20,21-104234,False,False,False,True,False,False,False,
21,21-104240,False,False,False,False,False,False,False,
22,21-104320,False,False,False,True,False,False,False,
23,21-104354,False,False,False,False,True,False,False,
24,21-104556,False,False,False,False,True,False,False,
25,21-104580,False,False,False,False,True,False,False,
26,21-104610,False,False,False,False,True,False,False,
27,21-104639,False,False,False,True,False,False,False,
28,21-104722,False,False,False,False,False,False,True,
29,21-104771,False,False,False,False,False,False,False,
30,21-104774,False,False,False,False,False,False,True,
31,21-104776,False,False,False,False,False,False,False,
32,21-105128,False,False,False,False,True,False,False,
33,21-105183,False,False,False,True,False,False,False,
34,21-105212,False,False,False,True,False,False,False,
35,21-105217,False,False,False,False,True,False,False,
36,21-105517,False,False,False,False,True,False,False,
37,21-105531,False,False,False,False,True,False,False,
38,21-105603,False,False,False,True,False,False,False,
39,21-105660,False,False,False,True,False,False,False,
40,21-105812,False,False,False,False,False,False,True,
41,21-105857,False,False,False,True,False,False,False,
42,21-105878,False,False,False,False,False,False,True,
43,21-105931,False,False,False,False,True,False,False,
44,21-105984,False,False,False,False,False,False,True,
45,21-105992,False,False,False,False,False,False,False,
46,21-106030,False,False,False,False,False,True,False,
47,21-106167,False,False,True,False,False,False,False,
48,21-106229,False,False,False,False,False,False,True,
49,21-106244,False,False,False,True,False,False,False,
50,21-106391,False,False,False,False,True,False,False,
51,21-106457,False,False,False,False,True,False,False,
52,21-106499,False,False,False,False,False,False,True,
53,21-106528,False,False,False,False,False,False,True,
54,21-106530,False,False,False,False,False,False,False,
55,21-106547,False,False,False,False,True,False,False,
56,21-106552,False,False,False,False,False,False,True,
57,21-106554,False,False,False,False,True,False,False,
58,21-106579,False,True,False,False,False,False,False,
59,21-106627,False,False,False,False,True,False,False,
60,21-106632,False,False,False,False,False,False,True,
61,21-106688,False,False,False,False,True,False,False,
62,21-106711,False,False,False,True,False,False,False,
63,21-106878,False,False,False,False,True,False,False,
64,21-106926,False,False,False,False,False,False,True,
65,21-106927,False,False,False,False,False,False,True,
66,21-106928,False,True,False,False,False,False,False,
67,21-106934,False,False,False,True,False,False,False,
