BOAMP_AVIS_NUM,D_14_01_Conditionparticipationsystmequalif_Conditions,D_14_02_Conditionparticipationsystmequalif_Methodeverification
21-111500,"La consultation est passée selon la procédure adaptée restreinte, en application des articles R2123-1.2°; R.2123-4, R.2123-5 et R.2142-15 du Code de la commande publique.","Trois (3) candidats minimum et quatre (4) candidats maximum (par lot) seront retenus par le Pouvoir adjudicateur à l'issue de la phase d'analyse des candidatures, conformément aux articles R.2142-15 et R.2142-16 du code de la commande publique."
21-112410,Voir le règlement de la consultation,Voir le règlement de la consultation
