BOAMP_AVIS_NUM,D_14_01_Conditionparticipationsystmequalif_Conditions,D_14_02_Conditionparticipationsystmequalif_Methodeverification
21-163941,"Clauses environnementales :Pour concourir, le candidat devra obligatoirement :- Disposer d'une marque ou d'une norme relative à son site de production telle que : Imprim'Vert, ISO 14001 ou équivalent- Utiliser :- Soit un papier recyclé disposant d'un label justifiant d'un taux de +60% de fibres recyclées (tel APUR, FSC recyclé ou FSC mixte, Certifié et Recyclé PEFC, Boucle de Moebius, l'Ange Bleu...). Une fiche technique du papier proposé sera jointe à chaque échantillon transmis.- Soit un papier constitué de fibres certifiées d'origine IFGD (papier certifié FSC ou PEFC ou équivalent ou papier disposant de l'Eco-label européen). Une fiche technique du papier proposé sera jointe à chaque échantillon transmis.",
21-167016,précisé dans le règlement de la consultation,précisé dans le règlement de la consultation
