,BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
1990,21-112729,False,False,False,False,True,False,False,
1991,21-112731,False,True,False,False,False,False,False,
1992,21-112734,False,False,False,False,False,False,True,
1993,21-112735,False,False,False,False,False,False,True,
1994,21-112736,False,False,False,False,False,False,True,
1995,21-112737,False,False,False,False,False,False,True,
1996,21-112739,False,False,False,False,False,False,True,
1997,21-112741,False,False,False,True,False,False,False,
1998,21-112748,False,False,False,False,False,False,False,
1999,21-112749,False,False,False,False,False,False,True,
2000,21-112751,False,False,False,False,False,False,True,
2001,21-112761,False,False,False,False,True,False,False,
2002,21-112762,False,False,False,False,True,False,False,
2003,21-112766,False,False,False,False,False,False,True,
2004,21-112768,False,False,False,False,True,False,False,
2005,21-112774,False,True,False,False,False,False,False,
2006,21-112776,False,False,False,False,False,False,True,
2007,21-112780,False,False,False,True,False,False,False,
2008,21-112783,False,False,False,False,False,True,False,
2009,21-112786,False,False,False,False,False,False,False,
2010,21-112787,False,False,False,False,True,False,False,
2011,21-112789,False,True,False,False,False,False,False,
2012,21-112790,False,False,False,False,True,False,False,
2013,21-112792,False,False,False,False,False,False,False,
2014,21-112794,False,False,False,False,True,False,False,
2015,21-112795,False,False,False,False,True,False,False,
2016,21-112796,False,False,False,False,False,False,True,
2017,21-112797,False,False,False,True,False,False,False,
2018,21-112801,False,False,False,False,True,False,False,
2019,21-112803,False,False,False,False,False,True,False,
2020,21-112805,False,False,False,False,True,False,False,
2021,21-112806,False,False,False,False,True,False,False,
2022,21-112812,False,False,False,False,False,False,True,
2023,21-112815,False,False,False,False,False,False,True,
2024,21-112816,False,False,False,False,True,False,False,
2025,21-112817,False,False,False,False,True,False,False,
2026,21-112818,False,False,False,False,False,False,True,
2027,21-112821,False,False,False,False,True,False,False,
2028,21-112835,False,False,False,False,True,False,False,
2029,21-112845,False,False,False,False,False,False,False,
2030,21-112847,False,False,False,False,True,False,False,
2031,21-112852,False,False,False,False,False,False,False,
2032,21-112854,False,False,False,False,False,False,True,
2033,21-112856,False,False,False,False,False,True,False,
2034,21-112859,False,True,False,False,False,False,False,
2035,21-112866,False,False,False,False,True,False,False,
2036,21-112880,False,True,False,False,False,False,False,
2037,21-112898,False,False,False,True,False,False,False,
2038,21-112900,False,False,False,False,False,False,True,
2039,21-112901,False,False,False,False,True,False,False,
2040,21-112902,False,False,False,False,False,False,True,
2041,21-112918,False,False,False,True,False,False,False,
2042,21-112920,False,False,False,False,False,False,False,
2043,21-112922,False,True,False,False,False,False,False,
2044,21-112933,False,True,False,False,False,False,False,
2045,21-112934,False,False,False,False,False,False,True,
2046,21-112936,False,False,False,False,False,False,False,
2047,21-112938,False,False,False,False,False,False,True,
2048,21-112945,False,False,False,False,False,True,False,
2049,21-112948,False,False,False,False,False,False,True,
2050,21-112949,False,False,False,False,True,False,False,
2051,21-112956,False,False,False,False,True,False,False,
2052,21-112957,False,False,False,False,False,False,True,
2053,21-112958,False,False,False,False,False,False,True,
2054,21-112959,False,False,False,False,False,False,True,
2055,21-112960,False,False,False,False,False,False,True,
2056,21-112961,False,False,False,False,False,False,True,
2057,21-112963,False,False,False,False,False,False,True,
2058,21-112966,False,False,False,True,False,False,False,
2059,21-112967,False,False,False,False,False,False,True,
2060,21-112970,False,False,False,False,False,False,False,
2061,21-112972,False,False,False,False,False,False,False,
2062,21-112973,False,False,False,True,False,False,False,
2063,21-112982,False,False,False,False,False,False,False,
2064,21-112985,False,False,False,True,False,False,False,
2065,21-112998,False,False,False,False,False,False,True,
2066,21-112999,False,True,False,False,False,False,False,
2067,21-113001,False,False,False,False,False,True,False,
2068,21-113002,False,False,False,True,False,False,False,
2069,21-113003,False,True,False,False,False,False,False,
2070,21-113007,False,False,False,False,False,True,False,
2071,21-113010,False,False,False,False,True,False,False,
2072,21-113014,False,False,True,False,False,False,False,
2073,21-113015,False,False,False,False,True,False,False,
2074,21-113016,False,False,False,False,True,False,False,
2075,21-113019,False,False,False,False,False,False,False,
2076,21-113020,False,False,False,False,False,False,False,
2077,21-113021,False,False,False,True,False,False,False,
2078,21-113030,False,False,False,False,False,False,True,
2079,21-113041,False,False,False,False,False,False,True,
2080,21-113042,False,False,False,True,False,False,False,
2081,21-113044,False,True,False,False,False,False,False,
2082,21-113047,False,False,False,False,False,False,False,
2083,21-113055,False,False,False,False,False,False,False,
2084,21-113058,False,False,False,False,False,False,True,
2085,21-113059,False,False,False,False,False,False,False,
2086,21-113060,False,False,False,False,False,False,True,
2087,21-113062,False,False,False,False,True,False,False,
2088,21-113066,False,False,False,False,False,False,False,
2089,21-113070,False,False,False,False,True,False,False,
2090,21-113073,False,False,False,False,True,False,False,
2091,21-113079,False,False,False,False,True,False,False,
2092,21-113082,False,False,False,False,False,False,False,
2093,21-113083,False,False,False,False,True,False,False,
2094,21-113094,False,False,False,False,False,False,True,
2095,21-113095,False,False,False,False,False,False,False,
2096,21-113105,False,True,False,False,False,False,False,
2097,21-113111,False,False,False,True,False,False,False,
2098,21-113127,False,True,False,False,False,False,False,
2099,21-113140,False,False,False,False,False,False,False,
2100,21-113150,False,False,False,False,True,False,False,
2101,21-113157,False,False,False,False,False,False,False,
2102,21-113158,False,False,False,False,False,False,True,
2103,21-113159,False,False,False,False,False,True,False,
2104,21-113162,False,False,False,False,False,False,True,
2105,21-113163,False,False,False,True,False,False,False,
2106,21-113164,False,False,False,False,True,False,False,
2107,21-113165,False,False,False,False,False,False,True,
2108,21-113166,False,False,False,False,False,False,False,
2109,21-113168,False,False,False,False,False,False,True,
2110,21-113169,False,False,False,False,False,False,True,
2111,21-113171,False,False,False,False,True,False,False,
2112,21-113172,False,False,False,False,True,False,False,
2113,21-113174,False,False,False,False,True,False,False,
2114,21-113176,False,False,False,False,True,False,False,
2115,21-113180,False,False,False,True,False,False,False,
2116,21-113182,False,False,False,True,False,False,False,
2117,21-113184,False,False,False,False,True,False,False,
2118,21-113185,False,True,False,False,False,False,False,
2119,21-113189,False,False,False,False,False,False,False,
2120,21-113191,False,False,False,False,False,False,True,
2121,21-113192,False,False,False,False,False,True,False,
2122,21-113201,False,False,False,False,True,False,False,
2123,21-113202,False,False,False,False,True,False,False,
2124,21-113204,False,False,False,False,False,False,False,
2125,21-113205,False,False,False,False,True,False,False,
2126,21-113213,False,False,False,True,False,False,False,
2127,21-113214,False,False,False,False,True,False,False,
2128,21-113215,False,False,False,False,True,False,False,
2129,21-113218,False,False,False,False,True,False,False,
2130,21-113225,False,False,False,False,False,False,True,
2131,21-113226,False,False,False,True,False,False,False,
2132,21-113232,False,True,False,False,False,False,False,
2133,21-113235,False,False,False,False,False,False,True,
2134,21-113237,False,False,False,False,False,False,True,
2135,21-113238,False,False,False,False,False,False,False,
2136,21-113239,False,False,False,False,False,False,False,
2137,21-113254,False,False,False,False,True,False,False,
2138,21-113256,False,False,False,True,False,False,False,
2139,21-113257,False,False,False,False,False,False,True,
2140,21-113260,False,False,False,False,False,False,True,
2141,21-113266,False,False,False,False,False,False,True,
2142,21-113267,False,False,False,False,False,False,True,
2143,21-113275,False,False,False,False,False,False,True,
2144,21-113276,False,False,False,True,False,False,False,
2145,21-113280,False,False,False,False,False,False,True,
2146,21-113283,False,False,False,False,False,False,True,
2147,21-113286,False,False,False,False,False,False,True,
2148,21-113290,False,False,False,False,False,False,False,
2149,21-113291,False,True,False,False,False,False,False,
2150,21-113297,False,False,False,False,True,False,False,
2151,21-113299,False,False,False,True,False,False,False,
2152,21-113300,False,False,False,True,False,False,False,
2153,21-113303,False,True,False,False,False,False,False,
2154,21-113318,False,False,False,False,False,False,True,
2155,21-113321,False,False,False,False,True,False,False,
2156,21-113323,False,False,False,False,False,False,False,
2157,21-113324,False,False,False,False,True,False,False,
2158,21-113329,False,False,False,False,False,True,False,
2159,21-113330,False,False,False,False,False,False,False,
2160,21-113336,False,False,False,False,True,False,False,
2161,21-113339,False,False,False,True,False,False,False,
2162,21-113341,False,False,False,False,True,False,False,
2163,21-113342,False,False,False,False,True,False,False,
2164,21-113343,False,False,False,False,True,False,False,
2165,21-113345,False,False,False,False,True,False,False,
2166,21-113349,False,False,False,False,False,True,False,
2167,21-113357,False,False,False,True,False,False,False,
2168,21-113358,False,False,False,False,False,False,True,
2169,21-113360,False,False,False,True,False,False,False,
2170,21-113362,False,False,False,False,True,False,False,
2171,21-113367,False,False,False,False,False,False,False,
2172,21-113369,False,False,False,False,False,False,True,
2173,21-113371,False,False,False,False,True,False,False,
2174,21-113374,False,False,False,False,True,False,False,
2175,21-113377,False,False,False,False,True,False,False,
2176,21-113378,False,False,False,False,False,False,True,
2177,21-113380,False,False,False,False,True,False,False,
2178,21-113382,False,False,False,False,True,False,False,
2179,21-113385,False,False,False,False,True,False,False,
2180,21-113387,False,False,False,False,True,False,False,
2181,21-113395,False,False,False,False,True,False,False,
2182,21-113396,False,False,False,True,False,False,False,
2183,21-113400,False,False,False,False,True,False,False,
2184,21-113404,False,False,False,False,False,False,False,
2185,21-113413,False,False,False,True,False,False,False,
2186,21-113414,False,False,False,False,False,False,False,
2187,21-113416,False,False,False,False,True,False,False,
2188,21-113417,False,False,False,False,True,False,False,
2189,21-113419,False,False,False,False,False,False,True,
