BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
21-125672,False,True,False,False,False,False,False,
21-132552,False,False,False,False,False,True,False,
21-133594,False,False,False,True,False,False,False,
21-136410,False,False,False,False,True,False,False,
21-138297,False,False,False,False,False,False,True,
21-140748,False,False,False,True,False,False,False,
21-142867,False,False,False,True,False,False,False,
21-148085,False,False,False,False,False,False,False,
21-148103,False,False,False,True,False,False,False,
21-152711,False,False,False,False,False,True,False,
21-154029,False,False,False,False,True,False,False,
21-154625,False,False,False,True,False,False,False,
21-154666,False,False,False,False,False,False,True,
21-155854,False,False,False,False,False,False,True,
21-155997,False,False,False,False,False,False,True,
21-156077,False,False,False,False,False,False,True,
21-156099,False,False,False,False,True,False,False,
21-156613,False,False,False,False,True,False,False,
21-157190,False,False,False,True,False,False,False,
21-157309,False,False,False,False,False,True,False,
21-157347,False,False,False,False,True,False,False,
21-157548,False,False,False,False,False,False,True,
21-157621,False,False,False,False,True,False,False,
21-157631,False,False,False,False,False,False,True,
21-157694,False,False,False,False,False,True,False,
21-157730,False,False,False,False,False,False,True,
21-157787,False,False,False,False,False,False,True,
21-157890,False,False,False,True,False,False,False,
21-157965,False,False,False,False,False,True,False,
21-157995,False,False,False,False,True,False,False,
21-158060,False,False,False,False,True,False,False,
21-158214,False,False,False,False,False,False,False,
21-158224,False,True,False,False,False,False,False,
21-158226,False,False,False,False,False,True,False,
21-158230,False,False,False,False,True,False,False,
21-158231,False,False,False,False,False,False,False,
21-158232,False,False,False,False,False,False,False,
21-158239,False,False,False,False,False,True,False,
21-158240,False,False,False,False,False,False,True,
21-158241,False,False,False,False,True,False,False,
21-158243,False,False,False,True,False,False,False,
21-158244,False,False,False,False,True,False,False,
21-158246,False,False,False,False,False,False,False,
21-158247,False,False,False,False,False,False,True,
21-158252,False,False,False,False,True,False,False,
21-158253,False,False,False,True,False,False,False,
21-158255,False,False,True,False,False,False,False,
21-158256,False,False,False,True,False,False,False,
21-158259,False,False,False,False,False,False,True,
21-158262,False,False,False,False,False,True,False,
21-158263,False,False,True,False,False,False,False,
21-158264,False,False,False,False,False,False,False,
21-158272,False,True,False,False,False,False,False,
21-158277,False,False,False,False,False,False,True,
21-158280,False,False,False,True,False,False,False,
21-158283,False,True,False,False,False,False,False,
21-158285,False,False,False,False,False,False,False,
21-158288,False,False,False,False,False,False,False,
21-158290,False,False,False,False,False,True,False,
21-158292,False,False,False,False,False,False,True,
21-158295,False,False,False,False,False,False,True,
21-158297,False,False,False,True,False,False,False,
21-158298,False,False,False,False,False,True,False,
21-158299,False,False,False,False,True,False,False,
21-158302,False,False,False,False,False,False,True,
21-158304,False,False,False,False,False,False,False,
21-158307,False,False,False,False,True,False,False,
21-158310,False,False,False,False,True,False,False,
21-158312,False,False,False,False,False,False,True,
21-158314,False,False,False,True,False,False,False,
21-158316,False,False,False,True,False,False,False,
21-158325,False,False,False,False,True,False,False,
21-158327,False,True,False,False,False,False,False,
21-158330,False,False,False,False,False,False,False,
21-158334,False,False,False,False,True,False,False,
21-158341,False,False,False,False,True,False,False,
21-158344,False,False,False,False,False,False,True,
21-158345,False,False,False,False,False,False,False,
21-158355,False,False,False,True,False,False,False,
21-158362,False,False,False,False,False,False,True,
21-158368,False,False,False,False,False,False,True,
21-158370,False,False,False,False,True,False,False,
21-158373,False,False,False,False,False,False,False,
21-158375,False,False,False,False,False,False,False,
21-158377,False,False,False,False,False,False,True,
21-158380,False,False,False,False,False,False,True,
21-158381,False,False,False,True,False,False,False,
21-158382,False,False,True,False,False,False,False,
21-158385,False,False,False,False,False,False,True,
21-158386,False,False,False,False,False,False,True,
21-158387,False,False,False,False,False,False,False,
21-158389,False,False,False,False,True,False,False,
21-158391,False,False,False,False,False,False,True,
21-158393,False,False,False,False,False,False,True,
21-158395,False,False,False,False,False,False,True,
21-158403,False,False,False,False,True,False,False,
21-158405,False,False,False,False,True,False,False,
21-158411,False,False,False,False,True,False,False,
21-158416,False,False,False,False,False,False,True,
21-158418,False,False,False,False,False,False,False,
21-158422,False,False,False,False,False,False,True,
21-158426,False,False,False,False,False,False,True,
21-158428,False,False,False,False,False,True,False,
21-158430,False,False,False,False,False,False,True,
21-158431,False,False,False,False,False,True,False,
21-158434,False,False,False,False,True,False,False,
21-158437,False,False,False,False,True,False,False,
21-158451,False,False,False,False,True,False,False,
21-158453,False,False,False,False,False,False,True,
21-158456,False,False,True,False,False,False,False,
21-158457,False,False,False,False,False,False,True,
21-158459,False,False,False,False,True,False,False,
21-158460,False,False,False,False,False,False,True,
21-158462,False,False,False,False,False,False,False,
21-158463,False,False,False,True,False,False,False,
21-158464,False,False,False,False,True,False,False,
21-158465,False,False,False,False,False,False,True,
21-158466,False,False,False,False,False,True,False,
21-158467,False,False,False,False,True,False,False,
21-158468,False,False,False,False,True,False,False,
21-158469,False,False,False,False,True,False,False,
21-158477,False,False,False,False,False,False,False,
21-158481,False,False,False,False,True,False,False,
