,BOAMP_AVIS_NUM,D_11_01_Conditiondelai_Receptcandidat,D_11_02_Conditiondelai_Receptoffres,D_11_03_Conditiondelai_Limiteenvoiinvit,D_11_04_Conditiondelai_Validiteoffre,D_11_04_01_Conditiondelai_Validiteoffre_Jusquau,D_11_04_02_Conditiondelai_Validiteoffre_Dureemois,D_11_04_03_Conditiondelai_Validiteoffre_Dureejour,D_11_05_Conditiondelai_Dureesystemequalification
0,19-84520,,2021-05-25 22:59:00,,CF_NIV_SUIV,,,,
1,20-101050,,2021-05-17 11:00:00,,CF_NIV_SUIV,,6.0,,
2,16-123407,,2016-09-15 11:00:00,,CF_NIV_SUIV,,,,
3,20-106726,,2021-05-17 10:30:00,,CF_NIV_SUIV,,,,
4,20-112578,,2021-05-19 16:00:00,,CF_NIV_SUIV,,,,
5,20-124973,,2021-05-18 11:00:00,,CF_NIV_SUIV,,4.0,,
6,20-132628,,2021-05-27 10:30:00,,CF_NIV_SUIV,,6.0,,
7,20-137371,,2021-06-08 11:30:00,,CF_NIV_SUIV,,,,
8,20-146194,,2021-05-19 11:00:00,,CF_NIV_SUIV,,4.0,,
9,20-147275,,2021-05-18 15:00:00,,CF_NIV_SUIV,,,,
10,20-149828,,2021-05-14 14:30:00,,CF_NIV_SUIV,,6.0,,
11,20-154583,,2021-05-06 13:00:00,,CF_NIV_SUIV,,6.0,,
12,20-154628,,2021-05-25 11:00:00,,CF_NIV_SUIV,,6.0,,
13,20-156489,,2021-05-06 11:00:00,,CF_NIV_SUIV,,,,
14,20-158920,,2021-05-04 11:00:00,,CF_NIV_SUIV,,3.0,,
15,20-38263,,2021-05-25 11:00:00,,CF_NIV_SUIV,,6.0,,
16,20-44560,,2021-05-07 15:00:00,,CF_NIV_SUIV,,,120.0,
17,20-46614,,2021-05-05 11:00:00,,CF_NIV_SUIV,,3.0,,
18,20-63448,,2021-04-29 11:00:00,,CF_NIV_SUIV,,,180.0,
19,20-84616,,2021-05-06 11:00:00,,CF_NIV_SUIV,,,90.0,
20,21-10175,,2021-05-17 14:30:00,,CF_NIV_SUIV,,6.0,,
21,21-1087,,2021-05-18 13:00:00,,CF_NIV_SUIV,,6.0,,
22,21-11029,,2021-05-03 11:00:00,,CF_NIV_SUIV,,6.0,,
23,21-12259,,2021-05-20 15:00:00,,CF_NIV_SUIV,,,120.0,
24,21-12482,,2021-05-17 15:00:00,,CF_NIV_SUIV,,,120.0,
25,21-13481,,2021-04-30 11:00:00,,CF_NIV_SUIV,,,120.0,
26,21-13491,,,,CF_NIV_SUIV,,6.0,,
