,BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
137,21-146271,False,False,False,False,True,False,False,
138,21-146276,False,False,False,False,False,False,True,
139,21-146279,False,False,False,False,True,False,False,
140,21-146280,False,False,False,True,False,False,False,
141,21-146284,False,False,False,False,False,False,True,
142,21-146285,False,True,False,False,False,False,False,
143,21-146295,False,False,False,False,True,False,False,
144,21-146296,False,False,False,False,False,False,True,
145,21-146297,False,False,False,True,False,False,False,
146,21-146298,False,False,False,False,False,False,False,
147,21-146299,False,False,False,False,False,False,True,
148,21-146301,False,False,False,False,True,False,False,
149,21-146309,False,False,False,False,True,False,False,
150,21-146310,False,False,False,False,False,False,True,
151,21-146311,False,False,False,False,True,False,False,
152,21-146312,False,False,False,True,False,False,False,
153,21-146317,False,False,False,False,True,False,False,
154,21-146320,False,False,False,False,True,False,False,
155,21-146324,False,False,False,False,True,False,False,
156,21-146326,False,False,False,False,True,False,False,
157,21-146328,False,False,False,False,True,False,False,
158,21-146329,False,False,False,False,False,False,True,
159,21-146330,False,False,False,True,False,False,False,
160,21-146332,False,False,False,False,True,False,False,
161,21-146334,False,True,False,False,False,False,False,
162,21-146336,False,False,False,False,True,False,False,
163,21-146337,False,True,False,False,False,False,False,
164,21-146338,False,False,False,False,True,False,False,
165,21-146340,False,False,False,False,False,False,True,
166,21-146347,False,False,False,False,False,True,False,
167,21-146349,False,False,False,False,True,False,False,
168,21-146350,False,False,True,False,False,False,False,
169,21-146353,False,False,False,False,True,False,False,
170,21-146354,False,False,False,False,True,False,False,
171,21-146358,False,False,False,False,False,False,True,
172,21-146359,False,False,False,False,False,False,False,
173,21-146361,False,False,False,True,False,False,False,
174,21-146362,False,False,False,False,True,False,False,
175,21-146363,False,False,False,True,False,False,False,
176,21-146366,False,False,False,False,False,True,False,
177,21-146367,False,False,False,True,False,False,False,
178,21-146368,False,False,False,False,False,False,True,
179,21-146369,False,False,False,False,True,False,False,
180,21-146373,False,False,False,False,False,False,True,
181,21-146374,False,False,False,False,False,True,False,
182,21-146375,False,False,False,False,True,False,False,
183,21-146377,False,False,False,False,True,False,False,
184,21-146381,False,False,False,False,True,False,False,
185,21-146382,False,False,False,False,False,False,True,
186,21-146384,False,False,False,False,True,False,False,
187,21-146387,False,False,False,False,False,False,True,
188,21-146392,False,False,False,False,True,False,False,
189,21-146393,False,False,False,False,True,False,False,
190,21-146394,False,False,False,False,True,False,False,
191,21-146395,False,False,False,False,True,False,False,
192,21-146396,False,False,False,True,False,False,False,
193,21-146399,False,False,False,False,False,True,False,
194,21-146403,False,False,False,False,False,False,False,
195,21-146405,False,False,False,False,False,False,False,
196,21-146406,False,True,False,False,False,False,False,
197,21-146408,False,False,False,False,False,False,False,
198,21-146414,False,False,False,False,False,False,True,
199,21-146416,False,False,False,False,False,False,False,
200,21-146418,False,False,False,False,True,False,False,
201,21-146423,False,False,False,False,True,False,False,
202,21-146426,False,False,False,True,False,False,False,
203,21-146428,False,False,False,False,True,False,False,
204,21-146429,False,False,False,False,True,False,False,
205,21-146442,False,False,False,True,False,False,False,
206,21-146443,False,False,False,False,True,False,False,
