,BOAMP_AVIS_NUM,D_07_01_Publicationanterieure_Oui,D_07_02_Publicationanterieure_Referencepublication,D_07_02_01_Publicationanterieure_Referencepublication_Publicationpapier,D_07_02_02_Publicationanterieure_Referencepublication_Publicationelectronique,D_07_02_03_Publicationanterieure_Referencepublication_Publicationjoue,D_07_02_03_01_Publicationanterieure_Referencepublication_Publicationjoue_Nature,D_07_02_03_01_01_Publicationanterieure_Referencepublication_Publicationjoue_Nature_Avispreinformation,D_07_02_03_01_02_Publicationanterieure_Referencepublication_Publicationjoue_Nature_Avisperiodique,D_07_02_03_01_03_Publicationanterieure_Referencepublication_Publicationjoue_Nature_Avissystemqualif,D_07_02_03_01_04_Publicationanterieure_Referencepublication_Publicationjoue_Nature_Avisprofilacheteur,D_07_02_03_01_05_Publicationanterieure_Referencepublication_Publicationjoue_Nature_Avisexantevolontaire,D_07_02_03_01_06_Publicationanterieure_Referencepublication_Publicationjoue_Nature_Avismarche,D_07_02_03_01_07_Publicationanterieure_Referencepublication_Publicationjoue_Nature_Avissad,D_07_02_03_01_08_Publicationanterieure_Referencepublication_Publicationjoue_Nature_Avisconcours,D_07_02_03_01_09_Publicationanterieure_Referencepublication_Publicationjoue_Nature_Avisattribution,D_07_02_03_01_10_Publicationanterieure_Referencepublication_Publicationjoue_Nature_Autrespublcationsanterieures,D_07_02_03_02_Publicationanterieure_Referencepublication_Publicationjoue_Annee,D_07_02_03_03_Publicationanterieure_Referencepublication_Publicationjoue_Numparution,D_07_02_03_04_Publicationanterieure_Referencepublication_Publicationjoue_Numannonce,D_07_02_03_05_Publicationanterieure_Referencepublication_Publicationjoue_Datepublication,D_07_03_Publicationanterieure_Non
1466,21-90469,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,35.0,85054.0,2021-02-18 23:00:00,False
1467,21-90473,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,53.0,133767.0,2021-03-16 23:00:00,False
1468,21-90479,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,81.0,208716.0,2021-04-26 22:00:00,False
1469,21-90493,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,52.0,131057.0,2021-03-15 23:00:00,False
1470,21-90494,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,243.0,600957.0,2020-12-14 23:00:00,False
1471,21-90497,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,10.0,18495.0,2021-01-14 23:00:00,False
1472,21-90501,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,56.0,141596.0,2021-03-21 23:00:00,False
1473,21-90510,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,16.0,36497.0,2021-01-24 23:00:00,False
1474,21-90519,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,53.0,133772.0,2021-03-16 23:00:00,False
1475,21-90525,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,56.0,141502.0,2021-03-21 23:00:00,False
1476,21-90528,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,205.0,499044.0,2020-10-21 22:00:00,False
1477,21-90533,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,79.0,202314.0,2021-04-22 22:00:00,False
1478,21-90536,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,202.0,491095.0,,False
1479,21-90539,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2020.0,242.0,598052.0,2020-12-10 23:00:00,False
1480,21-90540,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,20.0,43464.0,2021-01-28 23:00:00,False
1481,21-90545,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,66.0,157361.0,2020-04-01 22:00:00,False
1482,21-90547,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,53.0,133599.0,2021-03-16 23:00:00,False
1483,21-90565,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,72.0,183573.0,2021-04-13 22:00:00,False
1484,21-90577,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,52.0,131137.0,2021-03-15 23:00:00,False
1485,21-90580,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,74.0,188292.0,2021-04-12 22:00:00,False
1486,21-90581,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,225.0,554820.0,2020-11-17 23:00:00,False
1487,21-90585,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,182.0,437018.0,2020-09-17 22:00:00,False
1488,21-90596,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,63.0,160105.0,2021-03-30 22:00:00,False
1489,21-90602,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,65.0,166070.0,2021-04-01 22:00:00,False
1490,21-90605,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,63.0,159311.0,2021-03-30 22:00:00,False
1491,21-90607,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,69.0,176683.0,2021-04-08 22:00:00,False
1492,21-90620,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,80.0,205347.0,2021-04-25 22:00:00,False
1493,21-90622,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,182.0,436974.0,2020-09-16 22:00:00,False
1494,21-90623,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,30.0,75234.0,2021-02-11 23:00:00,False
1495,21-90626,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,182.0,436183.0,2020-09-17 22:00:00,False
1496,21-90627,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,17.0,39134.0,2021-01-25 23:00:00,False
1497,21-90630,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,72.0,183883.0,2021-04-13 22:00:00,False
1498,21-90632,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2020.0,150.0,367024.0,2020-08-04 22:00:00,False
1499,21-90641,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,121.0,293756.0,2020-06-24 22:00:00,False
1500,21-90642,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,43.0,106930.0,2021-03-02 23:00:00,False
1501,21-90644,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,79.0,202290.0,2021-04-22 22:00:00,False
1502,21-90655,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,67.0,158605.0,,False
1503,21-90659,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,62.0,157415.0,2021-03-29 22:00:00,False
1504,21-90687,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,48.0,120081.0,2021-03-09 23:00:00,False
1505,21-90705,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,242.0,599131.0,,False
1506,21-90708,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,38.0,96290.0,2021-02-23 23:00:00,False
1507,21-90714,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,45.0,112094.0,2021-03-04 23:00:00,False
1508,21-90723,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,100.0,262982.0,2021-05-25 22:00:00,False
1509,21-90733,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,31.0,77529.0,2021-02-14 23:00:00,False
1510,21-90761,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,218.0,535390.0,2020-11-08 23:00:00,False
1511,21-90764,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,50.0,123026.0,2021-03-11 23:00:00,False
1512,21-90775,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,52.0,131933.0,2021-03-15 23:00:00,False
1513,21-90786,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2020.0,242.0,599128.0,2020-12-10 23:00:00,False
1514,21-90788,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,57.0,144346.0,2021-03-22 23:00:00,False
1515,21-90793,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,212.0,515130.0,2020-10-29 23:00:00,False
1516,21-90795,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,48.0,120739.0,2021-03-04 23:00:00,False
1517,21-90796,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,77.0,196412.0,2021-04-20 22:00:00,False
1518,21-90797,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,69.0,175940.0,2021-04-08 22:00:00,False
1519,21-90808,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,74.0,186480.0,2021-04-12 22:00:00,False
1520,21-90811,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,20.0,44311.0,2021-01-28 23:00:00,False
1521,21-90814,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,91.0,235109.0,2021-05-10 22:00:00,False
1522,21-90818,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,47.0,118214.0,2021-03-08 23:00:00,False
1523,21-90820,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,232.0,572664.0,2021-11-26 23:00:00,False
1524,21-90821,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,237.0,586596.0,2020-12-03 23:00:00,False
1525,21-90828,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2020.0,222.0,542251.0,2020-11-12 23:00:00,False
1526,21-90829,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,28.0,68570.0,2021-02-09 23:00:00,False
1527,21-90833,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,55.0,135221.0,2021-03-18 23:00:00,False
1528,21-90835,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,43.0,106972.0,2021-02-27 23:00:00,False
1529,21-90846,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,60.0,150591.0,2021-03-21 23:00:00,False
1530,21-90847,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,50.0,124685.0,2021-03-11 23:00:00,False
1531,21-90850,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,238.0,587604.0,,False
1532,21-90854,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,26.0,63510.0,2021-02-07 23:00:00,False
1533,21-90859,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,27.0,66140.0,2021-02-07 23:00:00,False
1534,21-90860,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,36.0,90126.0,2021-02-21 23:00:00,False
1535,21-90861,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,76.0,193748.0,2021-04-19 22:00:00,False
1536,21-90862,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,57.0,143338.0,2021-03-19 23:00:00,False
1537,21-90873,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,60.0,149510.0,2021-03-22 23:00:00,False
1538,21-90877,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,62.0,156192.0,2021-03-28 22:00:00,False
1539,21-90881,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,60.0,149257.0,2021-03-25 23:00:00,False
1540,21-90883,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,31.0,76537.0,2021-02-11 23:00:00,False
1541,21-90893,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,87.0,224492.0,2021-05-04 22:00:00,False
1542,21-90913,False,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,,,,,True
1543,21-90919,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,20.0,46129.0,2021-01-28 23:00:00,False
1544,21-90920,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,249.0,619406.0,2020-12-21 23:00:00,False
1545,21-90922,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,10.0,18358.0,2021-01-14 23:00:00,False
1546,21-90931,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,16.0,36730.0,2021-01-24 23:00:00,False
1547,21-90932,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,37.0,92574.0,2021-02-22 23:00:00,False
1548,21-90934,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,32.0,79844.0,2021-02-15 23:00:00,False
1549,21-90944,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,62.0,157595.0,2021-03-29 22:00:00,False
1550,21-90947,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,65.0,165909.0,2021-04-01 22:00:00,False
1551,21-90950,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,65.0,164047.0,2021-04-01 22:00:00,False
1552,21-90951,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,65.0,164048.0,2021-04-01 22:00:00,False
1553,21-90952,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,65.0,166915.0,2021-04-01 22:00:00,False
1554,21-90954,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,70.0,178692.0,2021-04-11 22:00:00,False
1555,21-90957,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,209.0,509358.0,2020-12-10 23:00:00,False
1556,21-90959,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,93.0,242950.0,2021-05-13 22:00:00,False
1557,21-90967,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,72.0,183565.0,2021-04-13 22:00:00,False
1558,21-90971,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,52.0,130359.0,2021-03-14 23:00:00,False
1559,21-90976,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,30.0,73411.0,2021-02-11 23:00:00,False
1560,21-90977,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,31.0,77460.0,2021-02-14 23:00:00,False
1561,21-90987,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,57.0,144322.0,2021-06-27 22:00:00,False
1562,21-90996,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,75.0,191180.0,2021-04-18 22:00:00,False
1563,21-91000,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,26.0,63510.0,2021-02-07 23:00:00,False
1564,21-91016,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,50.0,124954.0,2021-03-11 23:00:00,False
1565,21-91017,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,53.0,132828.0,2021-03-16 23:00:00,False
1566,21-91026,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,61.0,154770.0,2021-03-28 22:00:00,False
1567,21-91032,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,56.0,141541.0,2021-06-30 22:00:00,False
1568,21-91089,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2020.0,224.0,550746.0,2020-11-16 23:00:00,False
1569,21-91094,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,55.0,135366.0,2021-03-18 23:00:00,False
1570,21-91096,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,84.0,216024.0,2021-04-29 22:00:00,False
1571,21-91098,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,42.0,103960.0,2021-03-01 23:00:00,False
1572,21-91105,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,79.0,200355.0,2021-04-22 22:00:00,False
1573,21-91114,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,82.0,211753.0,,False
1574,21-91115,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,65.0,165937.0,2021-03-29 22:00:00,False
1575,21-91118,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,True,,,False,False,2021.0,35.0,86451.0,2021-02-18 23:00:00,False
1576,21-91128,True,CF_NIV_SUIV,[],,CF_NIV_SUIV,CF_NIV_SUIV,False,False,,False,False,False,,,False,False,2021.0,7.0,10854.0,2021-01-06 23:00:00,False
